@relation dataset

@attribute ax real
@attribute ay real 
@attribute az real 
@attribute gx real
@attribute gy real
@attribute gz real
@attribute ave real 
@attribute res {TRUE, FALSE}

@data 
-0.3865509,0.8254547,10.314713,0.03729248,-0.04901123,-0.13101196,2.69772732,FALSE
-0.5434418,0.13343811,10.302429,-0.010635376,0.037261963,-0.041534424,2.470447484,FALSE
-0.45022583,0.7273865,10.29364,0.053268433,-0.045806885,0.036224365,2.656017276,FALSE
-1.2601624,0.7817993,10.26918,0.24394226,-0.15872192,-0.08306885,2.50868979,FALSE
-0.62176514,1.1444244,9.4526825,0.24394226,-0.15872192,-0.08306885,2.554821005,FALSE
-1.8507233,1.0875244,10.078796,-0.14805603,-0.071380615,0.029830933,2.291885268,FALSE
-3.1414795,0.23312378,10.704361,-0.5453949,-0.026641846,-0.088394165,1.812652595,FALSE
2.711502,1.0153198,9.719467,-0.38027954,0.07774353,0.059661865,3.266502315,FALSE
0.47746277,1.3070068,10.843826,-0.30570984,0.39945984,-0.0713501,3.080646433,FALSE
-0.0859375,1.7714844,7.833603,-0.17681885,0.031936646,0.35899353,2.335582763,FALSE
-0.9364624,-1.4483337,9.77475,-0.17681885,0.031936646,0.35899353,1.803283763,FALSE
-2.6896362,-0.20967102,8.984116,-0.076675415,0.17042542,0.069244385,1.502033341,FALSE
-3.0299072,-1.3156433,7.6330566,-0.6061249,0.6519165,0.015975952,0.6703453,FALSE
-0.06425476,1.8338013,9.519119,-0.10331726,0.2119751,-0.17256165,2.79633707,FALSE
-2.1581573,-0.9633484,10.365082,-0.2119751,-0.014923096,0.13102722,1.7579003,FALSE
-3.9320374,2.5008392,7.130722,-0.2119751,-0.014923096,0.13102722,1.371887175,FALSE
2.4739227,7.591614,8.469833,-1.1004028,-0.8447571,1.0088043,4.358741725,FALSE
-1.203125,-2.045807,9.371826,-0.17149353,-0.54222107,-0.40904236,1.487850118,FALSE
-0.8421478,0.013442993,9.559357,0.022369385,-0.2982788,-0.25778198,2.188255395,TRUE
5.142563,1.1729279,9.103485,-0.31530762,0.49319458,-0.5475311,3.77591707,TRUE
0.42485046,1.4594879,9.111084,0.18003845,0.28227234,0.08522034,2.793865203,TRUE
2.9971771,3.1800232,8.752884,0.18003845,0.28227234,0.08522034,3.777530688,TRUE
3.8503723,-4.1960144,12.065567,-0.35151672,0.5826874,-0.2588501,2.842102045,TRUE
2.5610046,1.4987488,14.038788,-0.36749268,0.48893738,0.75527954,4.43276218,TRUE
0.7320862,5.4653015,10.259766,-0.07774353,0.4207611,0.2737732,4.094852543,TRUE
-6.522644,0.76268005,16.03534,0.046875,-1.2112122,0.3536682,2.580562763,TRUE
-4.532135,-3.309555,9.539261,0.046875,-1.2112122,0.3536682,0.4361115,TRUE
-0.70314026,7.0561676,10.207138,0.27590942,0.43141174,0.38668823,4.20901869,TRUE
-2.5033417,-1.5473938,8.458008,-0.28121948,0.7467346,0.13102722,1.031513255,TRUE
-2.1599884,-3.0664978,10.57048,-0.39093018,1.0428772,0.34727478,1.238265905,TRUE
-4.3790894,9.859695,5.3957977,0.034088135,0.13845825,0.43888855,2.727622859,TRUE
4.18602,-4.7596283,13.848312,0.034088135,0.13845825,0.43888855,3.327197959,TRUE
0.5421448,-0.50465393,11.459,0.27270508,-0.4143982,0.33981323,2.942298988,TRUE
-6.7252502,17.33554,5.3112183,1.4210663,-0.95448303,-0.6945343,4.3356436,TRUE
-1.4061584,13.861069,10.673676,-0.84046936,1.4380951,0.7701874,5.57202931,TRUE
10.01149,-3.963028,14.952911,-0.65618896,-1.9952393,1.130249,5.08629601,TRUE
-3.2752533,2.7198029,-5.535385,3.9244385,0.755249,1.0013428,-0.541599225,TRUE
-5.5965576,8.084915,7.5467834,2.2104187,0.04472351,-0.060699463,3.061389875,TRUE
0.9012146,1.75,11.26413,2.2104187,0.04472351,-0.060699463,4.031440825,TRUE
-0.75335693,-1.6490784,11.315842,-0.19065857,0.36323547,0.94488525,2.180687025,TRUE
-0.98680115,0.3239746,8.370285,0.043670654,0.43247986,0.302536,1.937782276,TRUE
1.0826569,1.4556274,7.1727295,0.4697876,0.5006561,0.21305847,2.54520035,TRUE
-17.639679,0.24551392,7.1829376,0.15660095,0.9193115,1.3912354,-2.513656633,TRUE
1.4087067,-7.4093933,11.5849,0.15660095,0.9193115,1.3912354,1.435203588,TRUE
0.649704,9.947113,4.8988953,0.25886536,1.1462097,-0.7914734,3.938644415,TRUE
-8.3181305,7.9257355,12.376923,-1.4199829,1.6063995,0.067108154,2.641136275,TRUE
1.3300476,2.0314178,6.391098,-1.0801544,0.27908325,-0.26522827,2.16810225,TRUE
-2.2075958,0.34700012,9.680222,0.51345825,-0.7254486,-0.04046631,2.083271143,TRUE
-0.601593,1.9032898,11.40094,0.51345825,-0.7254486,-0.04046631,3.304023763,TRUE
0.6443939,2.1656952,9.795227,0.4974823,-0.06285095,-0.16616821,3.2756996,TRUE
0.32148743,0.51231384,8.552338,-0.6061249,0.41862488,0.17150879,2.195003593,TRUE
-4.3544006,1.0210114,9.36615,-0.27482605,0.23539734,0.26205444,1.439483688,TRUE
-2.2043762,1.4566956,8.145187,0.50920105,-0.33236694,0.29507446,1.976676863,TRUE
-1.0328369,-0.9540863,10.957321,0.50920105,-0.33236694,0.29507446,2.369899713,TRUE
-13.461594,2.2566223,9.954666,0.2737732,-0.42077637,0.14700317,-0.244133125,TRUE
-1.6862946,1.090271,11.219147,-0.029815674,0.10757446,-0.18000793,2.648326932,TRUE
-2.0649414,1.9664612,10.249222,-0.47402954,-0.16938782,0.23435974,2.419178065,TRUE
-3.2276764,5.194351,8.967026,-0.1459198,-0.9257202,-0.026611328,2.6969452,TRUE
0.4111328,0.52716064,6.5626526,-0.002120972,-0.32383728,-0.47935486,1.874706267,TRUE
0.100479126,1.4930878,6.802719,0.08735657,-0.443161,-0.03300476,2.120910624,TRUE
-3.3862762,0.56507874,12.840546,0.08735657,-0.443161,-0.03300476,2.526676278,TRUE
0.72621155,1.5578613,10.9232025,-0.11929321,0.37495422,0.45167542,3.271995535,TRUE
-0.24446106,2.761612,7.133423,-0.21730042,0.1736145,0.36645508,2.35831838,TRUE
-2.4006348,-0.32894897,8.401398,0.39414978,-0.15553284,-0.015960693,1.516491003,TRUE
-0.68032837,-1.72406,13.129318,0.29507446,-0.21092224,0.17469788,2.755001023,TRUE
0.058883667,-3.4077454,9.230164,0.29507446,-0.21092224,0.17469788,1.544094182,TRUE
-0.23501587,-0.4539032,12.266495,-0.007446289,0.15338135,-0.31530762,2.89253241,TRUE
-3.1911316,-1.7345734,11.991058,0.13635254,-0.07350159,0.06817627,1.800426385,TRUE
3.9827118,-2.4295502,12.310303,0.20559692,0.19598389,-0.7041321,3.51726538,TRUE
-0.33892822,-0.81140137,11.006805,0.10333252,-0.32704163,0.16937256,2.489951983,TRUE
-0.6789551,1.0074463,8.901779,0.10333252,-0.32704163,0.16937256,2.33340068,TRUE
-0.31053162,-1.4524994,8.911957,-0.10757446,-0.18536377,-0.43247986,1.76033788,TRUE
-1.1972198,-1.8450775,10.578476,0.012786865,0.043655396,-0.45484924,1.887241391,TRUE
0.18293762,-0.5141907,8.779556,0.012786865,0.15550232,-0.5922699,2.115272446,FALSE
0.75193787,-0.48339844,9.723465,-0.18214417,-0.11186218,-0.3408661,2.452465065,FALSE
0.28851318,0.28129578,10.02359,-0.18214417,-0.11186218,-0.3408661,2.602813698,FALSE
-2.8828888,-0.31259155,8.508881,-0.2673645,0.14485168,-0.16403198,1.261509038,FALSE
1.0454407,-1.9282532,11.485397,-0.2481842,-0.08842468,0.24607849,2.588600075,FALSE
-1.0867004,0.06617737,10.591583,0.26098633,-0.118255615,-0.14059448,2.458011575,FALSE
-0.45674133,-1.3402863,11.245651,0.31318665,-0.10972595,0.004257202,2.440452505,FALSE
-1.1364746,0.58457947,10.57814,0.31318665,-0.10972595,0.004257202,2.58485788,FALSE
0.13105774,-1.1785278,9.783325,0.08522034,-0.04901123,-0.15870667,2.20526882,FALSE
0.9057007,0.24076843,9.094254,0.16299438,-0.11505127,0.04473877,2.600929378,FALSE
-1.3801575,-1.3678131,10.088501,0.19708252,-0.106536865,-0.30891418,1.88440323,FALSE
-0.85632324,-1.0431824,10.749634,-0.005310059,-0.001068115,-0.12782288,2.211204575,FALSE
-1.8034058,-0.6472473,10.253265,-0.026611328,-0.08203125,0.08735657,1.944000143,FALSE
