@relation dataset

@attribute ax real
@attribute ay real 
@attribute az real 
@attribute gx real
@attribute gy real
@attribute gz real
@attribute ave real 
@attribute res {STOP, MOVE, STEP}

@data
-0.2106781,-0.01675415,10.00296,0.001068115,0.008514404,0.008529663,2.444148966,STOP
-0.19631958,0.03590393,9.979019,0.013854981,0.02128601,0.004257202,2.458114583,STOP
-0.26335144,-0.007171631,9.94072,0.018112183,-0.003204346,0.001068115,2.422077278,STOP
-0.26335144,-0.007171631,9.94072,0.018112183,-0.003204346,0.001068115,2.422077278,STOP
-0.22505188,0.02154541,9.864105,-0.009567261,0.00958252,0.002136231,2.412757817,STOP
-0.2681427,-0.002380371,9.883255,-0.005310059,0.01171875,-0.010635376,2.401855468,STOP
-0.2106781,-0.007171631,9.806641,0.005325317,-0.001068115,-0.011703491,2.398529147,STOP
-0.28250122,-0.05505371,9.94072,0.004272461,0,0.004257202,2.401859383,STOP
-0.18673706,-0.011962891,10.022125,0.003204346,-0.003204346,0.005325317,2.456657349,STOP
-0.18673706,-0.011962891,10.022125,0.003204346,-0.003204346,0.005325317,2.456657349,STOP
-0.32081604,0.06942749,10.050858,-0.003173828,0.01171875,-0.001068115,2.449073905,STOP
-0.12449646,0.03590393,9.931137,0.012786865,-0.007461548,-0.002136231,2.463832834,STOP
-0.24420166,0.05984497,9.911987,-0.003173828,0.003189087,0.001068115,2.43111412,STOP
-0.08139038,0.14125061,9.926346,-0.005310059,-0.001068115,0.007461548,2.495224043,STOP
-0.08139038,0.14125061,9.926346,-0.005310059,-0.001068115,0.007461548,2.495224043,STOP
-0.1819458,0.05984497,10.012543,0.008529663,0.001068115,0.007461548,2.474742958,STOP
-0.12449646,0.05027771,9.916779,0.01171875,0.003189087,0.003189087,2.46356975,STOP
-0.1819458,-0.026321411,9.979019,0.013854981,0.002136231,-0.003189087,2.446151692,STOP
-0.13406372,0.03111267,9.950287,0.018112183,0.006393433,0.001068115,2.466362033,STOP
-0.24899292,0.04548645,9.945511,0.013854981,-0.010650635,0.003189087,2.438964878,STOP
-0.24899292,0.04548645,9.945511,0.013854981,-0.010650635,0.003189087,2.438964878,STOP
-0.21546936,0.007171631,9.964661,0.007461548,-0.010650635,-0.006393433,2.440956205,STOP
-0.16758728,-0.007171631,10.117889,0.009597778,0.01171875,-0.006393433,2.488181967,STOP
-0.22984314,0.02154541,9.902405,0.020248413,-0.018112183,0.005325317,2.428588921,STOP
-0.2106781,-0.03111267,9.897629,-0.001052856,-0.00958252,0.005325317,2.413696343,STOP
-0.2106781,-0.03111267,9.897629,-0.001052856,-0.00958252,0.005325317,2.413696343,STOP
-0.1771698,-0.05027771,9.892838,0.01171875,0.005325317,0.01171875,2.41927731,STOP
-0.15322876,-0.04548645,9.988602,0.003204346,-0.00958252,-0.004257202,2.448272784,STOP
-0.1819458,0.07899475,9.945511,0.010650635,-0.00958252,0.01171875,2.463302646,STOP
